propertyzip	squarefeet	latitude	longitude	altitude (m)	noofstories	improvementmarketvalue	totalmarketvalue	marketvalueyear
77550	3833	29.285077	-94.801256	4	1	102330	116630	2018
77551	6403	29.259252	-94.843176	1.5	1	194300	222080	2018
77554	6578	29.192088	-94.981118	1.5	1	166330	258850	2018
77550	5140	29.298709	-94.789484	2.6	1	163320	182430	2018
77550	5924	29.286493	-94.801375	3.7	1	140180	162250	2018
77551	6665	29.27538	-94.817012	4.2	1	160090	197730	2018
77551	6578	29.268277	-94.84229	1.5	1	83200	103660	2018
77554	9583	29.200986	-94.945372	1.6	1	263910	299970	2018
77551	7362	29.273794	-94.822783	3.1	1	168720	193450	2018
77551	2962	29.277828	-94.823987	2.9	1	89470	101850	2018
77551	5968	29.283098	-94.828775	1.9	1	168030	177930	2018
77550	2526	29.299306	-94.783178	3	1	106810	121120	2018
77550	1699	29.287496	-94.799239	3.8	1	70470	76830	2018
77550	5097	29.302802	-94.777486	3	1	99390	118460	2018
77554	5968	29.215467	-94.915005	1.8	1	242590	354790	2018
77551	5968	29.29008	-94.822377	2.3	1	74710	99470	2018
77554	6229	29.138983	-95.04868	1.4	1	153700	182010	2018
77554	4792	29.299173	-94.913005	1.5	1	101220	189990	2018
77550	3746	29.295367	-94.782085	4.8	1	133630	147550	2018
77551	3485	29.279939	-94.82644	1.5	1	86470	100990	2018
77550	1525	29.293465	-94.785642	3.7	1	70650	75460	2018
77554	13024	29.28186	-94.870861	1.5	1	176020	246150	2018
77550	5140	29.293609	-94.797656	2.9	1	50520	69680	2018
77554	18252	29.140117	-95.053359	0.6	1	758600	1105160	2018
77551	4182	29.28308	-94.815052	3.3	1	100690	116280	2018
77550	8364	29.300413	-94.80358	2.2	1	74700	89780	2018
77554	3877	29.238829	-94.882723	2.9	1	33320	35120	2018
77550	4356	29.315263	-94.768427	2.6	1	126020	161320	2018
77551	2962	29.285645	-94.819738	3	1	48120	60500	2018
77554	6882	29.182862	-94.976109	1.5	1	103580	124000	2018
77551	5140	29.291816	-94.819366	2.2	1	88130	109330	2018
77554	6970	29.143569	-95.051839	1.2	1	116380	285990	2018
77554	6011	29.139406	-95.043693	1.8	1	126360	153450	2018
77550	2396	29.294868	-94.802337	2.6	1	97700	105260	2018
77554	6229	29.142342	-95.046385	1.5	1	230020	258330	2018
77550	1437	29.302483	-94.778487	2.9	1	18070	23490	2018
77550	3920	29.290841	-94.794206	3.4	1	91970	106450	2018
77550	5097	29.28642	-94.803835	3.4	1	129690	148760	2018
77551	5097	29.279944	-94.828157	1.4	1	97190	105570	2018
77550	10062	29.285444	-94.806059	3.4	1	113060	148430	2018
77551	9757	29.272805	-94.820974	3.8	1	209740	251670	2018
77554	2962	29.175025	-94.98373	1.6	1	131560	157030	2018
77551	4182	29.285499	-94.825194	2.5	1	81650	99290	2018
77551	15594	29.290515	-94.818651	2.4	1	341390	438890	2018
77551	7187	29.288524	-94.817473	2.6	1	225460	270460	2018
77550	5009	29.297562	-94.782568	3.4	1	85290	104040	2018
77551	6142	29.2792	-94.829628	1.5	1	106440	114930	2018
77550	1481	29.287968	-94.797995	3.8	1	55620	61340	2018
77550	3136	29.29717	-94.791723	2.7	1	58670	70470	2018
77554	3572	29.199442	-94.943379	1.6	1	120950	141200	2018
77550	5140	29.302822	-94.783435	2.6	1	109860	131920	2018
77551	7536	29.272631	-94.823717	2.7	1	177650	202500	2018
77550	2483	29.304149	-94.788043	2.4	1	129330	140000	2018
77551	3920	29.284496	-94.816821	3.1	1	71750	88250	2018
77554	6229	29.144666	-95.044851	1.3	1	231500	259810	2018
77551	5968	29.280044	-94.826511	1.5	1	109960	134710	2018
77554	2962	29.174582	-94.984451	1.6	1	139760	165560	2018
77550	7841	29.299074	-94.803327	2.3	1	67270	81960	2018
77551	5968	29.279839	-94.820204	3.5	1	150130	174890	2018
77550	5358	29.292758	-94.810258	2.5	1	81740	101790	2018
77550	5140	29.294885	-94.789178	2.8	1	91750	110890	2018
77550	7710	29.2922	-94.808612	2.6	1	126820	154170	2018
77551	5793	29.287559	-94.832325	1.5	1	95480	105110	2018
77550	5184	29.300061	-94.793414	2.4	1	191980	234130	2018
77550	3398	29.28926	-94.799732	3.4	1	221660	234350	2018
77554	5001	29.19446	-94.98476	1.3	1	197500	308750	2018
77550	5097	29.30044	-94.778593	3.1	1	117850	134030	2018
77550	5140	29.297576	-94.814286	1.9	1	79580	95830	2018
77554	5968	29.139925	-95.041192	1.5	1	194000	290000	2018
77550	4269	29.305191	-94.776484	2.8	1	230350	244540	2018
77551	6273	29.273938	-94.824856	2.6	1	114420	135840	2018
77554	8886	29.183722	-94.974497	1.5	1	143620	170020	2018
77554	6055	29.141444	-95.052467	1.2	1	198250	313770	2018
77550	1002	29.296551	-94.794304	2.7	1	25270	29050	2018
77554	4487	29.255858	-94.866765	1.5	1	165070	207000	2018
77550	6098	29.317224	-94.770652	1.5	1	107130	133560	2018
77551	6970	29.267097	-94.842202	1.5	1	162720	184430	2018
77550	1568	29.291678	-94.810852	2.6	1	41090	46100	2018
77554	7492	29.252472	-94.870161	1.5	1	120190	158510	2018
77554	6229	29.145886	-95.043836	1.3	1	95000	123310	2018
77551	6360	29.270258	-94.840398	1.5	1	113470	133190	2018
77554	6970	29.206323	-94.938938	2	1	363740	390790	2018
77550	5097	29.301431	-94.775493	3.3	1	132890	179110	2018
77554	5358	29.196197	-94.986203	1.1	1	202300	334470	2018
77550	3398	29.298171	-94.780193	3.8	1	155220	166010	2018
77554	6578	29.191903	-94.978903	1.3	1	118260	185810	2018
77550	5140	29.304944	-94.786229	2.4	1	176210	198270	2018
77550	5097	29.296223	-94.780903	4.9	1	110580	129650	2018
77551	6490	29.269316	-94.837247	1.5	1	153310	171460	2018
77554	6578	29.139949	-95.046082	1.8	1	125270	155070	2018
77550	2439	29.291034	-94.793475	3.3	1	123240	139140	2018
77554	6839	29.125746	-95.071402	1.3	1	119200	131200	2018
77551	5140	29.281863	-94.813969	3.5	1	123990	143150	2018
77550	8146	29.322786	-94.772002	1.6	1	181110	211000	2018
77551	3267	29.280513	-94.824126	3.1	1	167630	181240	2018
77550	5097	29.299063	-94.783019	3	1	143490	162570	2018
77550	4966	29.284313	-94.804638	3.8	1	171920	192000	2018
77551	5140	29.27674	-94.829344	1.5	1	52150	59410	2018
77551	9191	29.275821	-94.830048	1.5	1	229610	239820	2018
77550	4966	29.294004	-94.816882	2.1	1	96220	119170	2018
77554	8233	29.187138	-94.979207	1.5	1	239110	263570	2018
77551	7928	29.268673	-94.840384	1.5	1	216890	241540	2018
77550	3572	29.29183	-94.810612	2.6	1	74670	86010	2018
77550	2570	29.286554	-94.794024	4.6	1	83970	98480	2018
77550	3833	29.297266	-94.783682	3.1	1	93630	107890	2018
77551	3528	29.276791	-94.828949	1.5	1	133140	138120	2018
77551	5968	29.276241	-94.838993	1.5	1	132250	155650	2018
77550	5968	29.281473	-94.80616	4.1	1	104800	127080	2018
77551	3441	29.292393	-94.81717	2.2	1	118320	132840	2018
77550	5097	29.300072	-94.782215	2.9	1	131510	150590	2018
77554	5576	29.26675	-94.878109	1.7	1	76010	104010	2018
77554	12458	29.140388	-95.044857	2	1	244690	301310	2018
77550	5097	29.286386	-94.803963	3.5	1	169840	188910	2018
77554	5968	29.142621	-95.04365	1.5	1	121060	148150	2018
77550	5968	29.317942	-94.770725	1.4	1	121030	147270	2018
77554	6578	29.191638	-94.978461	1.4	1	67450	135000	2018
77551	6273	29.260047	-94.84441	1.5	1	184480	196770	2018
77551	5140	29.281681	-94.81466	3.5	1	99960	119040	2018
77554	6882	29.18197	-94.976086	1.5	1	112760	133200	2018
77550	6098	29.316905	-94.770737	1.5	1	131450	157880	2018
77554	5358	29.21457	-94.917959	1.6	1	188320	256630	2018
77550	2570	29.307745	-94.774336	3	1	55660	65240	2018
77550	5097	29.286112	-94.797782	4.2	1	152280	171350	2018
77554	5532	29.13992	-95.052491	1.1	1	204170	309530	2018
77550	5097	29.279169	-94.80772	4.3	1	117170	136240	2018
77550	7536	29.304518	-94.784191	2.5	1	191670	224070	2018
77551	6273	29.276184	-94.815975	4.2	1	181440	216830	2018
77554	5968	29.129726	-95.061602	1.6	1	278480	303560	2018
77554	6229	29.201695	-94.937985	1.5	1	271260	446260	2018
77554	6055	29.143306	-95.052327	0.4	1	169520	317260	2018
77550	3833	29.297081	-94.782773	3.5	1	80410	94710	2018
77554	7841	29.141847	-95.053753	1.2	1	300280	491640	2018
77554	6839	29.19847	-94.984199	1.5	1	103220	271490	2018
77554	5706	29.205035	-94.944578	1.5	1	215460	230660	2018
77551	6316	29.283242	-94.829735	1.8	1	145260	155640	2018
77550	3877	29.282045	-94.807212	4	1	112510	129210	2018
77550	2526	29.300166	-94.778546	3.1	1	67640	75730	2018
77551	4008	29.273956	-94.836043	1.5	1	93700	116450	2018
77550	10237	29.291761	-94.815963	2.3	1	167715	198995	2018
77550	2265	29.294968	-94.78859	2.8	1	22210	29390	2018
77554	5968	29.206657	-94.936169	3	1	193460	238460	2018
77550	2217	29.284402	-94.80425	3.8	1	106350	116230	2018
77554	9975	29.292593	-94.863452	1.5	1	81210	107810	2018
77551	5097	29.285572	-94.82741	2.2	1	82300	103720	2018
77551	6273	29.277493	-94.817735	3.9	1	185820	221210	2018
77550	5097	29.301231	-94.77625	4.3	1	88290	104470	2018
77554	7579	29.218082	-94.943333	1.2	1	417490	507940	2018
77554	6970	29.146871	-95.049169	1.4	1	201570	445000	2018
77554	12458	29.140403	-95.04782	1.5	1	110380	167000	2018
77554	5968	29.142592	-95.040673	2.3	1	51210	78300	2018
77554	5924	29.196412	-94.986186	1.5	1	289370	435000	2018
77551	5489	29.289304	-94.820574	2.4	1	176630	198360	2018
77554	3267	29.130277	-95.060623	1.6	1	193210	207000	2018
77551	2570	29.280396	-94.8199	3.5	1	110440	121080	2018
77554	12197	29.20559	-94.937441	2.9	1	217890	263360	2018
77554	8581	29.205639	-94.940627	1.7	1	232940	273610	2018
77551	4922	29.272824	-94.845262	1.5	1	36440	43330	2018
77550	1481	29.288063	-94.798027	3.7	1	50900	56620	2018
77550	3006	29.280418	-94.810504	4	1	63810	74940	2018
77550	4792	29.296354	-94.800003	2.6	1	124440	151440	2018
77550	5968	29.318582	-94.771132	1.3	1	161500	187740	2018
77554	8760	29.186729	-94.974311	1.6	1	208840	234790	2018
77551	2962	29.289458	-94.826272	2.2	1	53180	63680	2018
77554	17468	29.128547	-95.070304	1.5	1	81400	112030	2018
77550	5576	29.314428	-94.772506	3.1	1	100240	116410	2018
77551	6273	29.277898	-94.842251	1.5	1	112200	120740	2018
77550	5140	29.306862	-94.786198	2.2	1	55210	74290	2018
77554	5489	29.196023	-94.985209	0.4	1	196410	331020	2018
77551	5968	29.284158	-94.818095	3.2	1	126510	151260	2018
77554	7187	29.191589	-94.977654	1.2	1	139840	231150	2018
77551	4182	29.285184	-94.826397	2.3	1	59890	77530	2018
77550	5097	29.301073	-94.776351	4.2	1	80550	109440	2018
77554	4966	29.138686	-95.052239	0.9	1	351820	446820	2018
77550	1873	29.293182	-94.786789	3	1	27860	38500	2018
77551	4922	29.272289	-94.844975	1.5	1	159720	166610	2018
77550	5097	29.288002	-94.81224	2.8	1	68390	87460	2018
77554	6098	29.204648	-94.937828	2.7	1	94470	144280	2018
77554	6011	29.142225	-95.044325	1.5	1	234080	261170	2018
77551	2962	29.282337	-94.826105	1.9	1	82060	92560	2018
77554	5968	29.144632	-95.042271	1.5	1	244370	271460	2018
77551	4704	29.277914	-94.81448	4.1	1	163210	216180	2018
77551	6578	29.26238	-94.839494	1.5	1	138250	158710	2018
77554	5227	29.252946	-94.868408	1.5	1	133030	163740	2018
77554	6273	29.294775	-94.91998	0.8	1	94300	200000	2018
77551	6578	29.265519	-94.841169	1.5	1	111200	131660	2018
77554	5881	29.215378	-94.915161	1.8	1	193720	304050	2018
77554	5576	29.295544	-94.918444	1.4	1	240340	310580	2018
77551	2483	29.281521	-94.826503	1.6	1	64400	77530	2018
77554	6708	29.192962	-94.981162	0.3	1	232720	326920	2018
77551	4487	29.283572	-94.820312	3.2	1	136790	155350	2018
77554	15594	29.132433	-95.060705	1.5	1	288850	355510	2018
77550	5140	29.288597	-94.809975	2.9	1	93920	113000	2018
77550	4487	29.292458	-94.803976	2.8	1	102630	116810	2018
77551	7667	29.271206	-94.840061	1.5	1	181000	204890	2018
77550	3354	29.283035	-94.809506	3.6	1	96290	108760	2018
77554	24829	29.199969	-94.990966	1.5	1	58030	899420	2018
77550	5140	29.284052	-94.810773	3.3	1	71300	90380	2018
77551	5968	29.285954	-94.820051	3	1	107130	131880	2018
77550	5140	29.282513	-94.809906	3.6	1	130910	149990	2018
77550	4269	29.283767	-94.80103	4.3	1	84510	100440	2018
77554	8756	29.185822	-94.97531	1.7	1	169080	195030	2018
77550	4008	29.290716	-94.805511	2.9	1	51660	66660	2018
77554	18165	29.181838	-94.97317	1.6	1	204750	357500	2018
77550	5118	29.280608	-94.809456	4	1	158850	187760	2018
77554	13068	29.200274	-94.941687	1.7	1	130680	204170	2018
77554	12066	29.237054	-94.904488	1.5	1	52530	66950	2018
77551	5968	29.282571	-94.828923	1.8	1	171770	181670	2018
77554	6708	29.216976	-94.913778	1.9	1	279650	365710	2018
77554	7100	29.131438	-95.058288	1.7	1	186440	216160	2018
77550	5271	29.292227	-94.792108	3	1	328570	373710	2018
77551	5750	29.279518	-94.822506	3.3	1	143480	167240	2018
77550	6011	29.300165	-94.779736	3	1	121620	143920	2018
77551	4617	29.274315	-94.826655	2.1	1	110660	117120	2018
77554	5009	29.138543	-95.058245	0.7	1	258450	312950	2018
77550	5358	29.308767	-94.784636	2.1	1	124880	141830	2018
77551	1960	29.281817	-94.814569	3.5	1	59320	66630	2018
77550	5140	29.282237	-94.811013	3.6	1	77980	97060	2018
77554	9365	29.27206	-94.880376	1.6	1	100680	148280	2018
77550	5140	29.280642	-94.809327	4	1	94850	114010	2018
77551	5968	29.277004	-94.838985	1.5	1	224240	247640	2018
77550	3354	29.306701	-94.781447	2.4	1	167430	181830	2018
77551	5227	29.286455	-94.839191	1.5	1	74500	96820	2018
77554	5358	29.195348	-94.986172	1.1	1	243500	375670	2018
77554	3964	29.109337	-95.089971	1.5	1	194300	274460	2018
77551	5968	29.285924	-94.819768	3	1	122390	147140	2018
77550	5097	29.285813	-94.797354	4.4	1	291970	311040	2018
77551	5968	29.279336	-94.821524	3.4	1	95170	119920	2018
77554	6229	29.190133	-94.980928	1.5	1	123030	187000	2018
77551	7667	29.264081	-94.840783	1.5	1	116430	150010	2018
77554	34369	29.237188	-94.908522	1.5	1	268500	275900	2018
77554	19558	29.214384	-94.9303	1.6	1	236400	242900	2018
77551	5968	29.288309	-94.816207	2.7	1	207220	235720	2018
77550	5793	29.315394	-94.771005	0.8	1	104640	121390	2018
77551	5576	29.280703	-94.828063	1.4	1	128070	137320	2018
77550	2570	29.282349	-94.803144	4.3	1	80630	95000	2018
77550	10193	29.298978	-94.803591	2.3	1	77600	94150	2018
77554	5968	29.141544	-95.043793	1.9	1	146760	173850	2018
77554	7013	29.253788	-94.868146	1.5	1	155260	181860	2018
77550	2544	29.285108	-94.811997	3	1	26480	34500	2018
77550	3354	29.289937	-94.793711	3.6	1	154220	164820	2018
77550	5793	29.321376	-94.77169	1.5	1	179290	204800	2018
77550	2570	29.30725	-94.777867	2.6	1	167650	177230	2018
77554	19471	29.262018	-94.866605	0	1	75860	184010	2018
77554	6229	29.141221	-95.050948	1.3	1	52340	170940	2018
77554	5968	29.205821	-94.938222	2.9	1	245940	290940	2018
77550	1873	29.300206	-94.782122	1.5	1	61710	68630	2018
77550	3833	29.297131	-94.78258	1.2	1	136840	152100	2018
77554	6229	29.145722	-95.043124	1.5	1	135060	163230	2018
77551	9409	29.266217	-94.840037	1.7	1	287170	326930	2018
77554	6882	29.18363	-94.97718	2.8	1	206220	226640	2018
77550	2483	29.289892	-94.809856	1.8	1	73190	82570	2018
77554	6229	29.141566	-95.044397	1.7	1	92470	120780	2018
77554	6229	29.141278	-95.046535	1.7	1	226310	254620	2018
77554	7449	29.185266	-94.976694	1.7	1	159250	181360	2018
77554	6621	29.204826	-94.941959	3	1	214500	250990	2018
77551	2962	29.285641	-94.819755	2.4	1	89370	101750	2018
77554	8102	29.225647	-94.934889	1.8	1	84360	240750	2018
77554	7057	29.200234	-94.943208	0.2	1	106580	133150	2018
77551	8973	29.2761	-94.8293	3.3	1	126900	136980	2018
77551	5968	29.280588	-94.822442	1.4	1	133990	158750	2018
77550	4312	29.284174	-94.806131	4.4	1	82490	98530	2018
77550	5140	29.282371	-94.802731	2.8	1	65920	85000	2018
77550	6142	29.293753	-94.7888	2.9	1	137050	159820	2018
77550	3833	29.288909	-94.80833	1.5	1	77520	91830	2018
77554	7231	29.144658	-95.052832	2.2	1	267610	521150	2018
77550	2483	29.299281	-94.806261	4.2	1	76420	82090	2018
77554	5968	29.143187	-95.042712	2.8	1	198120	226430	2018
77551	4792	29.279823	-94.826885	2.6	1	142350	162150	2018
77550	2875	29.298475	-94.805696	3.7	1	10440	19520	2018
77550	5140	29.283078	-94.807747	1.5	1	122510	141590	2018
77550	5097	29.300309	-94.784918	1.8	1	182380	201450	2018
77554	5968	29.216039	-94.915383	2.3	1	195590	271670	2018
77551	6186	29.270758	-94.833718	1.6	1	129870	147850	2018
77554	5489	29.129503	-95.062794	3.1	1	245570	268560	2018
77550	5445	29.287753	-94.805486	1.5	1	130410	150720	2018
77554	17729	29.18222	-94.971179	3.1	1	223170	420000	2018
77551	5968	29.28092	-94.82428	1.6	1	83070	107820	2018
77554	9235	29.128163	-95.062414	1.5	1	126270	165000	2018
77554	7013	29.253967	-94.867122	2.1	1	163630	193220	2018
77550	5489	29.316312	-94.768287	2.6	1	148160	183770	2018
77550	6273	29.292683	-94.808505	3.4	1	123270	158750	2018
77551	2483	29.284759	-94.821378	0.8	1	59310	69620	2018
77554	5184	29.13645	-95.061984	2.9	1	232600	295000	2018
77550	2570	29.296988	-94.785213	1.4	1	49030	58610	2018
77554	30056	29.259996	-94.865372	3.3	1	238460	354000	2018
77550	2526	29.297638	-94.782736	2.7	1	68230	77770	2018
77550	6229	29.288613	-94.813517	1.9	1	119260	145000	2018
77554	5968	29.140457	-95.042064	1	1	132600	159690	2018
77550	2570	29.307564	-94.776238	2.4	1	90340	99880	2018
77550	5140	29.305922	-94.784633	3.1	1	194330	213490	2018
77550	1830	29.291	-94.791633	1.5	1	80310	94110	2018
77554	8059	29.189709	-94.978297	1.8	1	123930	147930	2018
77554	9017	29.183844	-94.978305	2.7	1	177080	203870	2018
77550	2004	29.298907	-94.786254	2.7	1	61990	69490	2018
77550	5009	29.292958	-94.791268	1.6	1	81360	102800	2018
77554	5227	29.180336	-94.97572	1.5	1	176450	225240	2018
77551	7318	29.259754	-94.844792	1.5	1	243460	257180	2018
77551	7971	29.273805	-94.836263	0	1	152730	169390	2018
77554	6142	29.296841	-94.920661	3.7	1	298150	375460	2018
77550	5097	29.29961	-94.789666	1.5	1	225480	244540	2018
77550	5009	29.283678	-94.805517	1.5	1	39990	58550	2018
77550	5968	29.322662	-94.771172	1.5	1	138660	164870	2018
77551	5968	29.277238	-94.839525	2.7	1	144590	167990	2018
77550	2570	29.290363	-94.808922	3.7	1	48890	58470	2018
77551	9757	29.27251	-94.821331	0.9	1	298260	340190	2018
77554	21780	29.280282	-94.877337	1.7	1	250500	323560	2018
77554	4182	29.236633	-94.883433	3	1	300200	329940	2018
77550	5097	29.300638	-94.778533	1.5	1	96300	112480	2018
77551	5968	29.289462	-94.822657	1.9	1	152840	173840	2018
77551	4312	29.281968	-94.825941	2.9	1	70060	85180	2018
77551	5968	29.285943	-94.818601	1.6	1	76230	100980	2018
77554	5097	29.2179	-94.912163	0.8	1	120010	185000	2018
77554	4095	29.193728	-94.985209	1.8	1	98550	190000	2018
77554	7971	29.201974	-94.943552	0.9	1	114070	144070	2018
77554	6599	29.190832	-94.978965	1.5	1	161950	229500	2018
77554	6055	29.141079	-95.054113	3	1	144390	259910	2018
77550	3441	29.301021	-94.778228	4.3	1	59350	70320	2018
77550	2439	29.280345	-94.806887	0.3	1	134680	142490	2018
77554	5793	29.205406	-94.939697	1.5	1	299110	338100	2018
77554	6229	29.140502	-95.048486	2.9	1	224130	252440	2018
77550	2570	29.289101	-94.809149	1.9	1	99090	108670	2018
77551	1960	29.278056	-94.825306	3.2	1	70430	80930	2018
77550	5009	29.290796	-94.792759	3.2	1	155980	172170	2018
77551	5968	29.281498	-94.822587	1.5	1	208230	232980	2018
77550	5184	29.293212	-94.796767	0.4	1	94760	113920	2018
77554	4400	29.135745	-95.062412	1.5	1	184290	237500	2018
77554	4966	29.137212	-95.051087	4.3	1	168590	263590	2018
77550	4400	29.286366	-94.796809	1.1	1	103770	120210	2018
77550	2047	29.295716	-94.783886	2.1	1	45330	52940	2018
77551	2526	29.291818	-94.825045	1.5	1	85530	99980	2018
77554	8756	29.184051	-94.974663	1.5	1	89870	115820	2018
77554	4966	29.293018	-94.861306	1.5	1	76480	93980	2018
77554	4966	29.194615	-94.984508	3.9	1	278460	389710	2018
77550	7710	29.284597	-94.803116	4	1	208670	232370	2018
77550	5140	29.305482	-94.773283	1.4	1	246230	265310	2018
77554	7536	29.200135	-94.941928	2.5	1	199630	227980	2018
77551	3006	29.282145	-94.825258	2.2	1	42890	53390	2018
77550	3572	29.284237	-94.810067	1	1	65940	79310	2018
77551	6186	29.27963	-94.827641	1.6	1	42770	64430	2018
77551	10019	29.2754	-94.827558	3.9	1	69680	80330	2018
77550	3833	29.282972	-94.805812	2.6	1	69050	83420	2018
77551	7100	29.269556	-94.842114	1.5	1	130970	153000	2018
77554	4182	29.25283	-94.867913	1.5	1	133010	157580	2018
77551	7405	29.278051	-94.841898	1.5	1	107290	118140	2018
77554	7187	29.18967	-94.976734	1.5	1	135800	157130	2018
77551	5793	29.285864	-94.827899	2.5	1	88560	112920	2018
77550	2526	29.303118	-94.785917	3.6	1	123730	134720	2018
77551	9757	29.273064	-94.82152	3	1	194290	236220	2018
77550	7667	29.299627	-94.78238	0.8	1	131310	158660	2018
77550	5968	29.318399	-94.77183	1.5	1	116030	142270	2018
77550	1873	29.290856	-94.795266	4.3	1	132230	141160	2018
77550	4792	29.281485	-94.80464	1.5	1	90500	108360	2018
77551	8886	29.26663	-94.846234	1.5	1	209030	243180	2018
77554	6055	29.143493	-95.052016	2.9	1	171960	319700	2018
77551	2997	29.285079	-94.821902	2.8	1	81120	93500	2018
77554	5968	29.141124	-95.042481	3.5	1	247910	275000	2018
77550	3833	29.285898	-94.803744	3.1	1	136290	167450	2018
77551	8886	29.271412	-94.822733	0.4	1	223860	249630	2018
77550	9627	29.323092	-94.772867	1.4	1	285160	317590	2018
77554	7013	29.142627	-95.054344	1.5	1	229580	400000	2018
77551	6578	29.263316	-94.839439	0.3	1	185230	205690	2018
77554	6142	29.132508	-95.05843	2.5	1	195130	220970	2018
77554	4574	29.19508	-94.986737	1.5	1	142210	254040	2018
77550	5053	29.298396	-94.794301	2.3	1	90530	109370	2018
77551	4225	29.272662	-94.843146	1.4	1	163610	182550	2018
77551	4182	29.286636	-94.826401	1.5	1	87100	104740	2018
77554	12284	29.109761	-95.086125	3.1	1	1392460	1786970	2018
77551	5968	29.284775	-94.817323	2.2	1	133760	158510	2018
